[Mar 18 23:15:29] Asterisk 22.2.0 built by root @ 8cc7c63359fe on a x86_64 running Linux on 2025-03-15 18:50:23 UTC
[Mar 18 23:15:29] NOTICE[1] loader.c: 309 modules will be loaded.
[Mar 18 23:15:29] NOTICE[1] cdr.c: CDR simple logging enabled.
[Mar 18 23:15:29] NOTICE[1] indications.c: Default country for indication tones: us
[Mar 18 23:15:29] NOTICE[1] indications.c: Setting default indication country to 'us'
[Mar 18 23:15:29] NOTICE[1] res_smdi.c: No SMDI interfaces are available to listen on, not starting SMDI listener.
[Mar 18 23:15:29] WARNING[1] res_phoneprov.c: Unable to find a valid server address or name.
[Mar 18 23:15:30] ERROR[1] ari/config.c: No configured users for ARI
[Mar 18 23:15:30] NOTICE[1] confbridge/conf_config_parser.c: Adding default_menu menu to app_confbridge
[Mar 18 23:15:30] NOTICE[1] cel_custom.c: No mappings found in cel_custom.conf. Not logging CEL to custom CSVs.
[Mar 18 23:15:30] WARNING[1] ael/pval.c: Warning: file /etc/asterisk/extensions.ael, line 196-196: macro call to ael-dundi-e164 cannot be found in the AEL code!
[Mar 18 23:15:30] WARNING[1] ael/pval.c: Warning: file /etc/asterisk/extensions.ael, line 209-209: macro call to ael-dundi-e164 cannot be found in the AEL code!
[Mar 18 23:15:30] WARNING[1] ael/pval.c: Warning: file /etc/asterisk/extensions.ael, line 328-328: macro call to ael-std-exten-ael cannot be found in the AEL code!
[Mar 18 23:15:30] WARNING[1] loader.c: Some non-required modules failed to load.
[Mar 18 23:15:30] WARNING[1] loader.c: Module 'res_adsi' has been loaded but may be removed in a future release.
[Mar 18 23:15:30] WARNING[1] loader.c: Module 'app_getcpeid' has been loaded but may be removed in a future release.
[Mar 18 23:15:30] WARNING[1] loader.c: Module 'app_adsiprog' has been loaded but may be removed in a future release.
[Mar 18 23:15:30] ERROR[1] loader.c: cel_sqlite3_custom declined to load.
[Mar 18 23:15:30] ERROR[1] loader.c: cdr_sqlite3_custom declined to load.
[Mar 18 23:15:30] WARNING[10] pbx_config.c: users.conf is deprecated and will be removed in a future version of Asterisk
[Mar 18 23:36:43] WARNING[92] pbx_config.c: ==!!== Unknown directive: type at line 895 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:43] WARNING[92] pbx_config.c: ==!!== Unknown directive: username at line 896 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:43] WARNING[92] pbx_config.c: ==!!== Unknown directive: secret at line 897 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:43] WARNING[92] pbx_config.c: ==!!== Unknown directive: host at line 898 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:43] WARNING[92] pbx_config.c: ==!!== Unknown directive: context at line 899 of extensions.conf -- IGNORING!!!
[Mar 18 23:36:43] WARNING[92] pbx_config.c: ==!!== Unknown directive: disallow at line 900 of extensions.conf -- IGNORING!!!
